date,tss,ctl,atl,tsb,acwr
2026-03-09,73.39623169106866,73.39623169106866,73.39623169106866,0.0,0.9999999999863752
2026-03-10,224.63663559872276,80.43066908212235,111.2063326679822,-30.775663585859846,1.3826359265152233
2026-03-11,89.20169427341,80.83862374218224,105.70517306933914,-24.866549327156903,1.3076072819492315
2026-03-12,158.75553409083955,84.46266608398025,118.96776332471424,-34.50509724073399,1.4085248410820639
2026-03-13,199.1941218180308,89.79901286230819,139.02435294804337,-49.22534008573518,1.5481723965013496
2026-03-14,261.4448061749059,97.78253813266159,169.629466254759,-71.84692812209741,1.734762356269459
2026-03-15,239.39999389648438,104.36939654028126,187.07209816519034,-82.70270162490908,1.7924037540180435
2026-03-16,0,99.515006003524,140.30407362389275,-40.789067620368755,1.4098785626110946
2026-03-17,210.77284882728742,104.68978939067578,157.92126742474142,-53.23147803406563,1.508468670558795
2026-03-18,186.96559319007412,108.51657096274083,165.1823488660746,-56.66577790333376,1.5221854818953666
2026-03-19,157.07066018891598,110.77490069419083,163.15442669678495,-52.37952600259412,1.4728465173326768
2026-03-20,96.05162015284435,110.0900969480817,146.3787250607998,-36.288628112718115,1.3296266341604017
2026-03-21,190.47458785006884,113.82891047840668,157.40269075811707,-43.57378027971039,1.3828006443634855
2026-03-22,258.77915754364744,120.57078243492951,182.74680745449967,-62.17602501957016,1.515680696122297
2026-03-23,0,114.96283906586302,137.06010559087474,-22.09726652501172,1.1922122548762024
2026-03-24,200.70725586461734,118.95095147510742,152.97189315931038,-34.02094168420297,1.2860081509313226
2026-03-25,181.2393463747814,121.84808612160388,160.03875646317812,-38.19067034157423,1.313428561382135
2026-03-26,86.97216244167751,120.22595013649102,141.77210795780297,-21.54615782131195,1.179213870180869
2026-03-27,148.4095944190741,121.53681731242511,143.43147957312075,-21.89466226069564,1.1801483924269023
2026-03-28,275.34356353054045,128.6906194621049,176.40950056247567,-47.718881100370766,1.370803103586362
2026-03-29,178.81264510731327,131.02187646885878,177.0102866986851,-45.988410229826314,1.3509979513948256
2026-03-30,0,124.92783570286535,132.7577150240138,-7.829879321148454,1.062675217865046
2026-03-31,124.31536081030268,124.89934849856012,130.64712647058602,-5.747777972025901,1.0460192790440868
2026-04-01,84.49383809511511,123.0200224332836,119.10880437671828,3.9112180565653176,0.9682066546553049
2026-04-02,141.26035497077532,123.86840999316695,124.64669202523254,-0.7782820320655901,1.0062831357171875
2026-04-03,218.5833935770017,128.2737580668337,148.13086741317483,-19.857109346341133,1.1548025850684154
2026-04-04,155.79493968694754,129.55381302590877,150.046885481618,-20.49307245570924,1.158181932093753
2026-04-05,118.64467229979633,129.046411131671,142.19633218616258,-13.149921054491585,1.1019007110548182
2026-04-06,43.74052099123555,125.07869531118563,117.58237938743082,7.496315923754807,0.9400672040426656
2026-04-07,75.91495281368698,122.79200961362756,107.16552274399486,15.6264868696327,0.8727401976751165
2026-04-08,134.00348299826595,123.31347349198283,113.87501280756263,9.438460684420207,0.923459615416986
2026-04-09,137.44039652506507,123.97053967956805,119.76635873693824,4.2041809426298045,0.9660872578722121
2026-04-10,164.47221946326567,125.85433873927492,130.9428239185201,-5.088485179245183,1.0404315435540625
2026-04-11,210.15983388787146,129.77552456013987,150.74707641085794,-20.971551850718072,1.161598667550274
2026-04-12,225.9473350984838,134.2486320270396,169.5471410827644,-35.29850905572479,1.26293384536948
2026-04-13,0,128.0045096071773,127.1603558120733,0.8441537951040061,0.9934052808085594
2026-04-14,211.3063825499854,131.87901532544745,148.19686249655132,-16.317847171103864,1.1237334622927795
2026-04-15,71.27048181560333,129.06001376685006,128.96526732631432,0.09474644053574366,0.9992658729937364
2026-04-16,141.396984543197,129.63382636109876,132.073196630535,-2.439370269436239,1.0188173900045385
2026-04-17,173.3931885779179,131.66914553397407,142.40319461738073,-10.73404908340666,1.0815228885916592
2026-04-18,153.68296652290317,132.69304418462195,145.22313759376135,-12.530093409139397,1.0944291653344789
2026-04-19,259.3999938964844,138.5863906828481,173.76735166944212,-35.180960986594016,1.2538558137779274
2026-04-20,76.0934407043457,135.67974184663868,149.348873928168,-13.669132081529312,1.100745563739936
2026-04-21,215.85672922889634,139.4089040504646,165.97583775335008,-26.56693370288548,1.1905684137081944
2026-04-22,64.23308420651992,135.91235429028112,140.54014936664254,-4.627795076361423,1.0340498485181366
2026-04-23,95.81730950249565,134.04746848619808,129.35943940060582,4.688029085592262,0.9650270971954985
2026-04-24,216.41199209222128,137.87837656089684,151.1225775735097,-13.244201012612848,1.096057129057269
2026-04-25,250.8000030517578,143.13054523489038,176.0419339430717,-32.911388708181335,1.2299396586028566
2026-04-26,191.2190686143963,145.36722074091392,179.83621761090285,-34.46899686998893,1.2371167082446013
2026-04-27,0,138.60595465994118,134.87716320817714,3.728791451764039,0.9730978985579268
2026-04-28,165.94230690823196,139.87741290404773,142.64344913319084,-2.7660362291431113,1.0197747168087872
2026-04-29,162.10722721472814,140.9113577557073,147.50939365357516,-6.598035897867874,1.0468240176087142
2026-04-30,82.61554467095267,138.19992458897454,131.28593140791955,6.913993181054991,0.9499710784751286
2026-05-01,376.49243873826015,149.2832973401041,192.5875582405047,-43.30426090040061,1.2900810852298685
2026-05-02,150.06156743759706,149.3194959492898,181.9560605397778,-32.63656459048801,1.218568676392754
2026-05-03,177.89999389648438,150.64882143520583,180.94204387895445,-30.29322244374862,1.201085027774855
2026-05-04,84.06861948649087,147.55206785619583,156.72368778083856,-9.171619924642727,1.0621585319462905
2026-05-05,464.08422493498824,162.27449376683734,233.563822069376,-71.28932830253865,1.4393132071854176
2026-05-06,81.74603680806878,158.5289841408481,195.60937575404918,-37.08039161320107,1.2339029156903094
2026-05-07,136.52162998750495,157.50538627325076,180.83743931241312,-23.33205303916236,1.1481349532868435
2026-05-08,100.72344590928819,154.864365791206,160.8089409616319,-5.944575170425878,1.0383856876242414
2026-05-09,0,147.66137203347552,120.60670572122392,27.054666312251598,0.8167789859968594
2026-05-10,99.70040597377891,145.43062942604777,115.38013078436266,30.05049864168511,0.7933688469817198
2026-05-11,39.28214510949871,140.4934906206269,96.35563436564667,44.13785625498022,0.6858370016953238
2026-05-12,44.71539754548627,136.03869559387616,83.44557516060657,52.59312043326959,0.613395878251493
2026-05-13,87.29036358303493,133.77133131430216,84.40677226621366,49.364559048088495,0.6309780386895076
2026-05-14,59.8411840142144,130.3327198119725,78.26537520321385,52.06734460875866,0.6005044267895636
2026-05-15,0,124.27073284397379,58.699031402410384,65.5717014415634,0.4723479942428335
2026-05-16,146.6999969482422,125.31395443021884,80.69927278886834,44.6146816413505,0.6439767474831528
2026-05-17,0,119.48539841020867,60.524454591651256,58.96094381855742,0.5065426855200876
2026-05-18,0,113.92793801903618,45.393340943738444,68.53459707529774,0.3984390636101502
2026-05-19,0,108.62896415768566,34.04500570780383,74.58395844988183,0.3134063366200449
2026-05-20,0,103.57645419686307,25.533754280852875,78.04269991601019,0.2465208379510222
2026-05-21,0,98.75894469933456,19.150315710639656,79.6086289886949,0.1939096835101639
2026-05-22,0,94.16550541099342,14.362736782979741,79.80276862801368,0.15252651934633407
2026-05-23,25.785161955091684,90.98502432002124,17.218343076007727,73.76668124401351,0.18924370471404697
2026-05-24,0,86.75316272374118,12.913757307005795,73.83940541673539,0.14885632870792057
2026-05-25,0,82.71813189938113,9.685317980254347,73.0328139191268,0.1170882097762863
2026-05-26,119.02816570014065,84.40697068081181,37.02102991022592,47.38594077058589,0.43860157059520305
2026-05-27,133.72208058422376,86.70069672283097,61.19629257872538,25.504404144105592,0.7058339193473248
2026-05-28,99.37579111143226,87.2902359967194,70.7411672119021,16.549068784817308,0.8104132885349321
2026-05-29,9.278908063059092,83.66180213933985,55.37560242469134,28.286199714648518,0.6618982738598032
2026-05-30,61.4759614066539,82.62990257037771,56.900692170181976,25.729210400195733,0.6886210729950913
2026-05-31,167.39999389648438,86.57269751577802,84.52551760175757,2.0471799140204467,0.9763530538640811
2026-06-01,0,82.5460604220209,63.39413820131818,19.151922220702723,0.7679850240755822
2026-06-02,135.47685184896733,85.00795769769283,81.41481661323047,3.59314108446236,0.9577317090924816
2026-06-03,11.437260111621486,81.58606478671277,63.92042748782823,17.66563729888454,0.7834723693825583
2026-06-04,109.06324648071748,82.86407323759671,75.20613223605054,7.6579410015461775,0.9075843039902697
2026-06-05,65.67446897718641,82.06455676036832,72.82321642133451,9.241340339033812,0.8873893833740396
2026-06-06,56.02722520616319,80.85351808342855,68.62421861754167,12.229299465886882,0.8487474663240151
